"Special Price:","Специальная цена:"
"My Wishlist","Избранное"
"My Wishlist (%d item)","Избранные (%d)"
"My Wishlist (%d items)","Избранные (%d)"
"My Account","Аккаунт"
"Cart","Корзина"
"View Cart","Показать корзину"
"View all items in your shopping cart","Показать все товары в корзине"
"View All","Показать все"
"Compare","Сравнение"
"Compare Products","Сравнить товары"
"Compare all selected items","Сравнить все выбранные товары"
"Currency","Валюта"
"Language","Язык"
"Sign Up","Войти"
"Enter your e-mail","Введите ваш e-mail"
"Click to see more products from %s","Нажмите, чтобы увидеть больше товаров %s"
"Related Products","Связанные товары"
"Zoom","Увеличить"
"image {current} of {total}","{current} / {total}"
"New","Новинка"
"Sale","Акция"
"Categories","Категории"
"Menu","Меню"
"Email to a Friend","Поделиться"
"Product Tags","Тэги"
"Product Description","Описание"
"Additional Information","Характеристики"
"Other Products","Другие товары"
"Developed by", "разработано в"
"Join us on %s", "Присоединиться к нам в %s"
"Product Catalog", "Каталог товаров"
"Information Pages", "Информационные страницы"
"Our Contacts:", "Наши контакты:"
"SKU", "Код товара"
"Be the first to review this product", "Добавить отзыв"
"View All", "Посмотреть Все"
"Continue", "Продолжить"
"Shop Address:", "Адрес магазина:"
"Hours of Operations:", "Часы работы:"
"Information Pages", "Информационные страницы"
"Product Catalog", "Каталог товаров"
"Callback", "Заказать звонок"
"Popular categories", "Популярные категории"
"%s Item(s)", "%s товар(а)"
"Show", "Показать"
"per page", "на странице"
"Items %s to %s of %s total", "Товары с %s по %s из %s в каталоге"
"Buy in credit", "Купить в кредит"
"Add to Cart", "В корзину"
"Buy One Click", "Купить в один клик"
"Qty:", "Количество"
"Related Products", "Похожие товары"
"Login", "Войти"
"Add to Wishlist", "В избранное"
"Add to Compare", "В сравнение"
"Login", "Войти"
"Sing In", "Войти"
"Account", "Мой кабинет"
"Newsletter Subscription", "Подписка"
"Subscriptions", "Подписки"
"Subscription", "Подписка"
"News", "Новости"
"Keep abreast of the latest news", "Будьте в курсе самых последних новостей"
"You are subscribed to %s.", "Вы подписаны на %s"
"Your Name", "Ваше имя"
"Be the first to review this product", "Добавить отзыв"
"Add a Review", "Добавить отзыв"
"I am registered", "Я зарегистрирован"
"I am new buyer", "Я новый покупатель"
"Shopping bag", "Корзина покупок"
"Shipping Methods:", "Методы доставки:"
"Payment Methods:", "Методы отлаты:"
"State/Province", "Район/Область"
"Default Address", "Адрес по умолчанию"
"Clear List", "Очистить список"
"%s has been added to your wishlist.", "в лист пожеланий добавлено: %s."
"Shipping Address", "Адрес доставки"
"You failed to enter phone.", "Неверно указан номер телефона"
"Telephone", "Телефон"
"Comment", "Комментарий"
"Write Your Review", "Оставьте Ваш отзыв"
"Your Name", "Ваше имя"
"Your Review", "Ваш отзыв"
"Review for %s", "Отзыв для %s"
"loading ...", "идет загрузка ..."
"The page you requested was not found.", "Страница, которую Вы запросили не найдена"
"My Orders", "Мои заказы"
"Submit", "Подтвердить"
"Rating", "Рейтинг"
"About order", "Про заказ"
"Search entire store here...","Поиск товара..."
"Search", "Поиск"
"Close", "Закрыть"
"Find", "Найти"
"Filter", "Фильтр"
"Currently Shopping by", "Товары отфильтрованы по"
"%s was added to your shopping cart.","Товар %s успешно добавлен в корзину покупок."
"Email Address", "Email адрес"
"Please select region, state or province", "Пожалуйста, выберите район/область"
"Previous", "Предыдущая"
"Next", "Следующая"
"New products", "Новые поступления"
"All news", "Все новинки"
"We at social networks", "Мы в соц. сетях"
"Warranty", "Гарантия безопасной покупки"
"Check availability", "Узнать состояние"
"Located at", "Находится по адресу"
"Contacts telephone", "Контактные телефоны: "
"Work Graf", "График работы"
"name: ", "Имя: "
"phone: ", "телефон: "
"address: ", "адрес: "
"Buy One Click", "Купить в один клик"
"Your order has been accepted for moderation. In the near future you will be contacted our managers.", "Ваш заказ был принят на модерацию. В ближайшее время с Вами свяжется наш менеджер."
"Sorry, something went wrong...", "Извините, что-то пошло не так..."
"submit", "отправить заявку"
"Located at:", "Находится по адресу:"
"Zoom","Увеличить"
"Alert subscription has been saved.", "Оформина подписка на информирование о появлении товара в наличи."
"City: ", "Город: "
"Condition: ", "Состояние: "
"To :", "До: "
"The condition and packaging of goods can be found at the Sellers Store , in which the product or after placing the order you will be contacted by the manager", "Состояние и комплектацию товара можно узнать у продавца магазина, в котором находится товар или после оформления заказа с Вами свяжется менеджер"
"Unable to add the following product(s) to shopping cart: %s.", "Невозможно доваить товар(ы) в корзину: %s."
"Nothing found", "Ничего не найдено"
"Address: ", "Адрес: "
"Sku: ", "Код товара: "
"More ...", "Больше..."
"Less ...", "Меньше ..."
"Description: ", "Состояние: "
