"Close", "Закрити"
"Check availability", "Наявнiсть"
"Warranty", "Гарантія безпечної покупки"
"Warehouse", "Вiддiлення"
"Shopping bag", "Кошик покупок"
"Shipping Methods:", "Методи доставки:"
"Payment Methods:", "Методи оплати:"
"State/Province", "Район/Область"
"Default Address", "Адреса за замовчуванням"
"Clear List", "Очистити список"
"%s has been added to your wishlist.", "у лист побажань додано: %s."
"Shipping Address", "Адреса доставки"
"You failed to enter phone.", "Невірно вказаний номер телефона"
"Telephone", "Телефон"
"Comment", "Коментар"
"Write Your Review", "Залиште Ваш відгук"
"Your Name", "Ваше ім'я"
"Your Review", "Ваш відгук"
"Review for %s", "Відгук для %s"
"loading ...", "іде завантаження ..."
"The page you requested was not found.", "Сторінка, яку Ви запросили, не знайдена"
"My Orders", "Мої замовлення"
"Submit", "Підтвердити"
"Rating", "Рейтинг"
"About order", "Про замовлення"
"Search entire store here...","Пошук товара..."
"Search", "Пошук"
"Close", "Закрити"
"Find", Знайти"
"Filter", "Фільтр"
"Currently Shopping by", "Товари отфільтровано по"
"%s was added to your shopping cart.","Товар %s вдало доданий у кошик покупок."
"Email Address", "Email адреса"
"Please select region, state or province", "Будь ласка, оберіть район/область"
"Previous", "Попередня"
"Next", "Наступна"
"Follow us in social networks", "Ми у соц.мережах"
"Zoom","Збiльшити"
"Located at:", "Знаходиться за адресою:"
"Alert subscription has been saved.", "Пiдписка на iнформування про наявнiсть товару збережена"
"City: ", "Мiсто: "
"Condition: ", "Стан: "
"To :", "До: "
